id,section,section_title,source_line,problem,status,disposition,evidence
A1,A,PROBLEM DEFINITION,21,"Problem is currently too narrowly framed as defect localization. Need to define whether the system must detect, localize, classify, quantify, track and assess structural damage.",partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A2,A,PROBLEM DEFINITION,25,No explicit distinction between: - anomaly detection - damage detection - damage localization - damage classification - damage quantification - structural integrity assessment.,implemented_and_tested,Executable software control; scope remains research-only.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A3,A,PROBLEM DEFINITION,33,No-defect / healthy condition may not be explicitly modeled.,implemented_and_tested,Executable software control; scope remains research-only.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A4,A,PROBLEM DEFINITION,35,Unknown defect types may not be represented.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A5,A,PROBLEM DEFINITION,37,Multiple simultaneous defects are not adequately represented.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A6,A,PROBLEM DEFINITION,39,Defect geometry may be oversimplified to a point/location.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A7,A,PROBLEM DEFINITION,41,Defects may have arbitrary shapes.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A8,A,PROBLEM DEFINITION,43,Defect orientation may matter.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A9,A,PROBLEM DEFINITION,45,Defect depth may matter.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A10,A,PROBLEM DEFINITION,47,Defect through-thickness position may matter.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A11,A,PROBLEM DEFINITION,49,Defect size may matter.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A12,A,PROBLEM DEFINITION,51,Defect severity may matter.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A13,A,PROBLEM DEFINITION,53,Defect evolution over time is not modeled.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A14,A,PROBLEM DEFINITION,55,Progressive fatigue damage is not modeled.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A15,A,PROBLEM DEFINITION,57,Damage initiation is not modeled.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A16,A,PROBLEM DEFINITION,59,Damage propagation is not modeled.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A17,A,PROBLEM DEFINITION,61,Repair state is not modeled.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A18,A,PROBLEM DEFINITION,63,Previously detected damage history may not influence future inference.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A19,A,PROBLEM DEFINITION,65,Structural load state may not be part of the latent state.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A20,A,PROBLEM DEFINITION,67,Operating condition may not be part of the problem definition.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A21,A,PROBLEM DEFINITION,69,Inspection objective may change by application.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A22,A,PROBLEM DEFINITION,71,Detection objective and localization objective can conflict.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A23,A,PROBLEM DEFINITION,73,Localization accuracy alone does not necessarily imply engineering usefulness.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A24,A,PROBLEM DEFINITION,75,There is no explicit decision layer translating prediction into an engineering action.,implemented_and_tested,Executable software control; scope remains research-only.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A25,A,PROBLEM DEFINITION,78,"No explicit definition of what constitutes a ""safe"" inspection result.",partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A26,A,PROBLEM DEFINITION,80,No explicit definition of when human intervention is mandatory.,implemented_and_tested,Executable software control; scope remains research-only.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A27,A,PROBLEM DEFINITION,82,No explicit definition of acceptable false-negative rate.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A28,A,PROBLEM DEFINITION,84,No explicit definition of acceptable false-positive rate.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A29,A,PROBLEM DEFINITION,86,No explicit definition of inspection cost.,implemented_and_tested,Executable software control; scope remains research-only.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A30,A,PROBLEM DEFINITION,88,No explicit definition of safety risk.,implemented_and_tested,Executable software control; scope remains research-only.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A31,A,PROBLEM DEFINITION,90,No explicit definition of operational downtime.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A32,A,PROBLEM DEFINITION,92,No explicit definition of acceptable inference latency.,implemented_and_tested,Executable software control; scope remains research-only.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A33,A,PROBLEM DEFINITION,94,No explicit definition of inspection coverage.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A34,A,PROBLEM DEFINITION,96,No explicit definition of minimum detectable damage size.,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
A35,A,PROBLEM DEFINITION,98,No explicit definition of probability of detection (POD).,partially_mitigated,A bounded software mechanism or test exists; broader robustness/generalization remains open.,backend/app/assurance/monitor.py; backend/app/decision/loss.py
B1,B,PHYSICS MODEL PROBLEMS,104,Simplified wave propagation model.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B2,B,PHYSICS MODEL PROBLEMS,106,Constant wave velocity assumption can be unrealistic.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B3,B,PHYSICS MODEL PROBLEMS,108,Composite materials are anisotropic.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B4,B,PHYSICS MODEL PROBLEMS,110,Wave velocity can depend on propagation direction.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
